datetime,market_cap_other,market_volume_other
2013-08-25T12:12:00.000Z,115466000.0,0.0
2013-08-26T12:12:00.000Z,118411000.0,0.0
2013-08-27T12:12:00.000Z,120181000.0,0.0
2013-08-28T12:12:00.000Z,115818000.0,0.0
2013-08-29T12:12:00.000Z,114575000.0,0.0
2013-08-30T12:12:00.000Z,111332000.0,0.0
2013-08-31T12:12:00.000Z,117228000.0,0.0
2013-09-01T12:12:00.000Z,113470000.0,0.0
2013-09-02T12:12:00.000Z,114071000.0,0.0
2013-09-03T12:12:00.000Z,111656000.0,0.0
2013-09-04T12:12:00.000Z,116792000.0,0.0
2013-09-05T12:12:00.000Z,117809000.0,0.0
2013-09-06T12:12:00.000Z,117494000.0,0.0
2013-09-07T12:12:00.000Z,120307000.0,0.0
2013-09-08T12:12:00.000Z,121027000.0,0.0
2013-09-09T12:12:00.000Z,118644000.0,0.0
2013-09-10T12:12:00.000Z,119063000.0,0.0
2013-09-11T12:12:00.000Z,118623000.0,0.0
2013-09-12T12:12:00.000Z,119383000.0,0.0
2013-09-13T12:12:00.000Z,123245000.0,0.0
2013-09-14T12:12:00.000Z,120539000.0,0.0
2013-09-15T12:12:00.000Z,122148000.0,0.0
2013-09-16T12:12:00.000Z,124509000.0,0.0
2013-09-17T12:12:00.000Z,140534000.0,0.0
2013-09-18T12:12:00.000Z,148994000.0,0.0
2013-09-19T12:12:00.000Z,155231008.0,0.0
2013-09-20T12:12:00.000Z,152280000.0,0.0
2013-09-21T12:12:00.000Z,145835008.0,0.0
2013-09-22T12:12:00.000Z,148788992.0,0.0
2013-09-23T12:12:00.000Z,148916992.0,0.0
2013-09-24T12:12:00.000Z,147460000.0,0.0
2013-09-25T12:12:00.000Z,149630000.0,0.0
2013-09-26T12:12:00.000Z,156236992.0,0.0
2013-09-27T12:12:00.000Z,177963008.0,0.0
2013-09-28T12:12:00.000Z,177186000.0,0.0
2013-09-29T12:12:00.000Z,178035008.0,0.0
2013-09-30T12:12:00.000Z,147868000.0,0.0
2013-10-01T12:12:00.000Z,166502000.0,0.0
2013-10-02T12:12:00.000Z,144264000.0,0.0
2013-10-03T12:12:00.000Z,124288000.0,0.0
2013-10-04T12:12:00.000Z,142428992.0,0.0
2013-10-05T12:12:00.000Z,140888992.0,0.0
2013-10-06T12:12:00.000Z,148022000.0,0.0
2013-10-07T12:12:00.000Z,140384992.0,0.0
2013-10-08T12:12:00.000Z,140283008.0,0.0
2013-10-09T12:12:00.000Z,137512992.0,0.0
2013-10-10T12:12:00.000Z,143892000.0,0.0
2013-10-11T12:12:00.000Z,137220000.0,0.0
2013-10-12T12:12:00.000Z,136950000.0,0.0
2013-10-13T12:12:00.000Z,138908992.0,0.0
2013-10-14T12:12:00.000Z,135962000.0,0.0
2013-10-15T12:12:00.000Z,127178000.0,0.0
2013-10-16T12:12:00.000Z,119379000.0,0.0
2013-10-17T12:12:00.000Z,120840000.0,0.0
2013-10-18T12:12:00.000Z,122193000.0,0.0
2013-10-19T12:12:00.000Z,117178000.0,0.0
2013-10-20T12:12:00.000Z,119094000.0,0.0
2013-10-21T12:12:00.000Z,111777000.0,0.0
2013-10-22T12:12:00.000Z,107833000.0,0.0
2013-10-23T12:12:00.000Z,112394000.0,0.0
2013-10-24T12:12:00.000Z,126608000.0,0.0
2013-10-25T12:12:00.000Z,131653000.0,0.0
2013-10-26T12:12:00.000Z,118372000.0,0.0
2013-10-27T12:12:00.000Z,121661000.0,0.0
2013-10-28T12:12:00.000Z,118210000.0,0.0
2013-10-29T12:12:00.000Z,115661000.0,0.0
2013-10-30T12:12:00.000Z,116639000.0,0.0
2013-10-31T12:12:00.000Z,117446000.0,0.0
2013-11-01T12:12:00.000Z,122159000.0,0.0
2013-11-02T12:12:00.000Z,126568000.0,0.0
2013-11-03T12:12:00.000Z,141207008.0,0.0
2013-11-04T12:12:00.000Z,146380000.0,0.0
2013-11-05T12:12:00.000Z,144880000.0,0.0
2013-11-06T12:12:00.000Z,154130000.0,0.0
2013-11-07T12:12:00.000Z,188996000.0,0.0
2013-11-08T12:12:00.000Z,213942000.0,0.0
2013-11-09T12:12:00.000Z,209996992.0,0.0
2013-11-10T12:12:00.000Z,180768992.0,0.0
2013-11-11T12:12:00.000Z,186727008.0,0.0
2013-11-12T12:12:00.000Z,194294000.0,0.0
2013-11-13T12:12:00.000Z,214859008.0,0.0
2013-11-14T12:12:00.000Z,211028992.0,0.0
2013-11-15T12:12:00.000Z,208548000.0,0.0
2013-11-16T12:12:00.000Z,215156000.0,0.0
2013-11-17T12:12:00.000Z,215879008.0,0.0
2013-11-18T12:12:00.000Z,239567008.0,0.0
2013-11-19T12:12:00.000Z,297704992.0,0.0
2013-11-20T12:12:00.000Z,224098000.0,0.0
2013-11-21T12:12:00.000Z,322499008.0,0.0
2013-11-22T12:12:00.000Z,370931008.0,0.0
2013-11-23T12:12:00.000Z,414060992.0,0.0
2013-11-24T12:12:00.000Z,404836000.0,0.0
2013-11-25T12:12:00.000Z,477496000.0,0.0
2013-11-26T12:12:00.000Z,695414976.0,0.0
2013-11-27T12:12:00.000Z,903918016.0,0.0
2013-11-28T12:12:00.000Z,1753740032.0,0.0
2013-11-29T12:12:00.000Z,1577580032.0,0.0
2013-11-30T12:12:00.000Z,1736940032.0,0.0
2013-12-01T12:12:00.000Z,1725469952.0,0.0
2013-12-02T12:12:00.000Z,1587239936.0,0.0
2013-12-03T12:12:00.000Z,1683740032.0,0.0
2013-12-04T12:12:00.000Z,1876339968.0,0.0
2013-12-05T12:12:00.000Z,1615219968.0,0.0
2013-12-06T12:12:00.000Z,1677400064.0,0.0
2013-12-07T12:12:00.000Z,1247849984.0,0.0
2013-12-08T12:12:00.000Z,1106130048.0,0.0
2013-12-09T12:12:00.000Z,1418050048.0,0.0
2013-12-10T12:12:00.000Z,1518279936.0,0.0
2013-12-11T12:12:00.000Z,1384920064.0,0.0
2013-12-12T12:12:00.000Z,1379920000.0,0.0
2013-12-13T12:12:00.000Z,1428540032.0,0.0
2013-12-14T12:12:00.000Z,1342290048.0,0.0
2013-12-15T12:12:00.000Z,1250919936.0,0.0
2013-12-16T12:12:00.000Z,1244969984.0,0.0
2013-12-17T12:12:00.000Z,958323968.0,0.0
2013-12-18T12:12:00.000Z,627958016.0,0.0
2013-12-19T12:12:00.000Z,870828992.0,0.0
2013-12-20T12:12:00.000Z,936116992.0,0.0
2013-12-21T12:12:00.000Z,831300992.0,0.0
2013-12-22T12:12:00.000Z,870123008.0,0.0
2013-12-23T12:12:00.000Z,844320000.0,0.0
2013-12-24T12:12:00.000Z,866414016.0,0.0
2013-12-25T12:12:00.000Z,1044240000.0,0.0
2013-12-26T12:12:00.000Z,1177799936.0,0.0
2013-12-27T12:12:00.000Z,1288550016.0,8738590.0
2013-12-28T12:12:00.000Z,1287049984.0,24835200.0
2013-12-29T12:12:00.000Z,1230840064.0,11576000.0
2013-12-30T12:12:00.000Z,1301049984.0,20002200.0
2013-12-31T12:12:00.000Z,1284130048.0,15136600.0
2014-01-01T12:12:00.000Z,1328339968.0,14122400.0
2014-01-02T12:12:00.000Z,1360749952.0,22728400.0
