date,buy crypto,crypto,satoshi,crypto exchange,bitcoin,altcoins,coinmarketcap,btc,blockchain
2020-01-25,46,61,83,55,65,16,42,65,57
2020-01-26,58,59,77,49,61,60,48,59,55
2020-01-27,39,73,59,84,75,34,61,76,85
2020-01-28,53,82,78,88,87,27,65,86,77
2020-01-29,70,78,49,55,89,41,73,87,78
2020-01-30,45,83,66,60,86,49,74,85,77
2020-01-31,37,70,64,69,82,28,62,80,76
2020-02-01,39,44,100,44,67,34,56,65,68
2020-02-02,58,42,78,80,68,74,56,66,54
2020-02-03,40,42,79,48,71,44,56,67,84
2020-02-04,34,54,81,61,72,47,56,69,90
2020-02-05,56,52,77,51,78,77,66,77,96
2020-02-06,30,57,86,52,83,78,73,85,91
2020-02-07,27,52,71,74,80,62,68,84,98
2020-02-08,58,50,88,43,74,50,63,78,64
2020-02-09,43,57,90,83,96,40,82,91,67
2020-02-10,38,53,82,31,88,52,61,83,90
2020-02-11,100,78,77,72,87,58,69,83,91
2020-02-12,64,100,87,95,100,100,100,100,97
2020-02-13,69,87,66,84,89,65,86,95,100
2020-02-14,45,64,78,100,81,92,77,81,84
2020-02-15,39,67,96,51,80,54,78,81,70
2020-02-16,72,67,79,54,77,47,68,78,66
2020-02-17,38,53,80,64,82,62,62,80,84
2020-02-18,55,59,93,81,80,17,63,80,93
2020-02-19,38,61,74,72,84,58,66,84,97
2020-02-20,46,57,68,57,84,70,55,81,92
2020-02-21,31,49,98,62,75,24,53,79,93
2020-02-22,29,45,97,50,68,40,47,65,71
2020-02-23,47,49,91,60,67,52,46,69,65
2020-02-24,42,49,98,54,81,47,59,72,85
2020-02-25,50,51,93,75,79,35,47,75,86
2020-02-26,28,52,93,58,87,50,51,83,89
2020-02-27,33,48,80,52,85,51,49,80,74
2020-02-28,34,50,93,45,90,36,51,84,81
2020-02-29,46,45,85,83,68,19,42,64,68
2020-03-01,26,66,38,40,29,25,34,32,63
2020-03-02,27,69,38,63,31,32,37,34,91
2020-03-03,32,67,34,56,30,22,32,32,91
2020-03-04,55,80,33,70,32,54,36,29,96
2020-03-05,58,77,35,53,32,66,37,34,100
2020-03-06,37,70,30,59,31,23,34,34,88
2020-03-07,43,68,42,48,28,100,34,32,66
2020-03-08,63,69,32,44,30,25,37,33,62
2020-03-09,48,74,42,49,52,43,52,50,76
2020-03-10,45,67,37,28,40,54,39,39,83
2020-03-11,47,65,37,35,34,43,38,35,88
2020-03-12,76,92,41,41,74,74,80,73,80
2020-03-13,99,100,33,100,100,33,100,100,79
2020-03-14,100,76,36,32,63,87,60,62,63
2020-03-15,37,67,33,44,55,37,48,50,62
2020-03-16,61,67,100,62,69,64,62,64,68
2020-03-17,54,68,51,41,59,53,50,54,64
2020-03-18,50,65,33,49,54,32,45,50,73
2020-03-19,65,78,29,45,59,86,54,55,69
2020-03-20,59,70,28,55,58,64,54,57,69
2020-03-21,56,63,31,55,50,96,42,48,61
2020-03-22,50,66,31,23,46,84,39,45,67
2020-03-23,48,60,30,45,47,20,42,45,70
2020-03-24,56,68,33,41,48,85,39,46,74
2020-03-25,37,66,38,28,45,43,39,41,78
2020-03-26,40,59,31,45,41,21,36,38,75
2020-03-27,41,65,35,37,39,41,36,36,79
2020-03-28,54,66,41,56,39,23,36,37,63
2020-03-29,51,65,43,49,38,47,32,37,74
2020-03-30,45,62,30,43,38,61,35,36,81
2020-03-31,38,67,33,53,35,51,40,34,76
2020-04-01,42,65,54,53,58,16,76,51,74
2020-04-02,66,65,76,56,66,33,66,60,78
2020-04-03,36,67,62,67,62,68,65,56,76
2020-04-04,35,68,62,54,56,66,58,53,74
2020-04-05,40,68,78,71,55,57,51,50,79
2020-04-06,58,78,69,65,66,16,69,60,92
2020-04-07,60,72,74,78,67,34,69,63,80
2020-04-08,53,91,56,84,63,42,57,57,83
2020-04-09,59,80,72,68,58,35,62,54,85
2020-04-10,84,84,76,77,65,36,61,58,87
2020-04-11,43,76,75,54,58,76,54,54,73
2020-04-12,54,76,89,72,58,29,58,52,75
2020-04-13,39,78,70,80,62,26,49,55,80
2020-04-14,61,73,68,77,58,33,57,50,85
2020-04-15,68,65,67,71,57,33,50,53,97
2020-04-16,43,72,76,60,62,67,57,56,80
2020-04-17,46,74,73,54,58,34,54,52,84
2020-04-18,45,80,70,87,57,19,55,52,81
2020-04-19,56,75,76,57,55,28,63,51,81
2020-04-20,51,74,84,93,57,41,56,53,88
2020-04-21,70,70,72,56,57,25,53,50,87
2020-04-22,67,74,75,63,56,33,54,52,88
2020-04-23,48,84,79,58,61,24,57,59,91
2020-04-24,58,79,65,63,63,42,58,59,91
2020-04-25,49,81,90,61,63,57,73,56,83
2020-04-26,49,85,74,78,62,38,71,57,91
2020-04-27,57,77,73,62,64,50,65,59,91
2020-04-28,44,86,62,94,61,49,60,54,90
2020-04-29,96,94,76,100,88,42,91,87,100
2020-04-30,100,100,100,85,100,100,100,100,99
