date,crypto bubble,unemployment,pandemic,war,sp500,buy stock,find job,trade war,virus
2019-08-06,99,80,68,85,94,90,99,97,78
2019-08-07,0,70,69,85,76,79,77,65,76
2019-08-08,0,68,90,80,72,74,81,45,75
2019-08-09,0,57,76,84,62,68,80,41,73
2019-08-10,0,39,100,93,23,50,62,27,69
2019-08-11,0,73,94,99,18,45,68,31,67
2019-08-12,98,97,61,87,57,76,98,39,78
2019-08-13,0,85,86,85,69,91,100,53,81
2019-08-14,0,73,77,83,93,99,80,45,80
2019-08-15,100,69,71,86,100,100,82,53,75
2019-08-16,99,59,66,85,80,68,92,37,75
2019-08-17,0,39,76,92,19,63,59,28,70
2019-08-18,0,74,82,100,16,57,71,27,71
2019-08-19,0,92,56,87,66,83,94,39,100
2019-08-20,0,76,65,86,56,72,89,32,85
2019-08-21,0,72,69,84,52,74,96,32,83
2019-08-22,0,69,75,86,58,74,85,35,81
2019-08-23,0,62,69,88,76,61,81,74,79
2019-08-24,0,40,71,93,28,54,63,93,72
2019-08-25,0,75,69,100,20,50,70,79,73
2019-08-26,0,93,67,97,70,63,90,100,83
2019-08-27,0,77,68,95,72,80,95,73,87
2019-08-28,0,70,70,94,57,73,100,68,87
2019-08-29,0,68,64,99,53,81,87,63,91
2019-08-30,95,60,77,97,50,75,81,55,84
2019-08-31,0,35,55,95,14,56,61,41,73
2019-09-01,0,65,54,92,18,59,58,97,67
2019-09-02,0,59,51,99,41,63,77,99,73
2019-09-03,0,89,47,84,98,77,88,92,73
2019-09-04,0,81,60,85,80,76,92,100,78
2019-09-05,0,74,58,89,94,73,79,81,78
2019-09-06,52,70,47,88,81,85,78,76,73
2019-09-07,0,40,51,90,26,57,57,47,68
2019-09-08,58,70,51,98,18,55,70,54,71
2019-09-09,0,96,65,88,75,79,93,70,80
2019-09-10,0,79,46,85,79,80,88,78,84
2019-09-11,0,75,53,88,76,91,94,74,84
2019-09-12,0,71,61,93,100,100,88,74,83
2019-09-13,0,64,50,84,81,81,80,66,76
2019-09-14,0,36,40,84,26,60,60,46,67
2019-09-15,0,73,45,92,21,58,69,47,70
2019-09-16,0,100,68,88,71,85,88,64,80
2019-09-17,0,79,69,86,69,74,81,62,87
2019-09-18,100,75,100,86,86,95,93,61,94
2019-09-19,0,72,85,87,79,83,92,52,94
2019-09-20,0,65,68,89,85,88,82,59,85
2019-09-21,0,38,57,85,22,57,56,51,75
2019-09-22,0,70,65,93,20,54,72,52,75
2019-09-23,0,98,52,86,71,86,100,69,88
2019-09-24,0,81,63,84,93,87,89,64,96
2019-09-25,0,70,64,85,77,88,88,62,100
2019-09-26,0,77,69,87,80,93,85,61,89
2019-09-27,0,65,51,86,65,78,73,52,91
2019-09-28,0,41,44,89,20,53,67,47,76
2019-09-29,0,70,64,100,16,57,65,40,77
2019-09-30,0,99,52,97,73,82,98,60,83
2019-10-01,83,85,72,52,70,98,99,48,98
2019-10-02,0,76,54,100,100,90,82,49,99
2019-10-03,0,74,75,89,93,94,85,46,97
2019-10-04,0,74,62,76,78,80,72,50,87
2019-10-05,0,43,64,75,22,65,64,32,77
2019-10-06,0,68,67,73,16,61,62,36,80
2019-10-07,0,99,70,66,66,88,95,54,97
2019-10-08,0,84,75,63,76,83,80,59,95
2019-10-09,0,76,65,62,77,87,94,70,94
2019-10-10,0,70,68,60,83,85,80,82,93
2019-10-11,0,65,77,59,67,90,70,100,90
2019-10-12,0,38,70,60,22,65,57,62,79
2019-10-13,95,67,68,63,15,66,58,52,80
2019-10-14,0,86,72,55,62,75,80,56,96
2019-10-15,0,89,69,54,75,81,100,60,98
2019-10-16,0,82,73,52,74,88,79,39,100
2019-10-17,84,72,76,53,59,83,72,44,96
2019-10-18,0,70,67,53,61,83,75,39,86
2019-10-19,0,39,52,53,16,53,43,27,77
2019-10-20,0,68,60,57,16,54,54,29,80
2019-10-21,0,94,66,52,63,78,90,39,92
2019-10-22,0,84,100,50,63,83,96,39,100
2019-10-23,0,79,79,51,63,84,84,33,95
2019-10-24,0,69,76,50,65,98,83,38,97
2019-10-25,0,66,72,54,77,99,72,36,88
2019-10-26,100,38,78,51,25,66,56,32,79
2019-10-27,0,63,80,52,14,67,49,25,77
2019-10-28,0,100,76,51,63,90,77,39,96
2019-10-29,0,83,73,50,76,85,90,36,99
2019-10-30,0,75,64,48,74,93,93,42,92
2019-10-31,84,64,71,50,69,100,83,41,86
2019-11-01,79,64,61,87,93,91,76,60,78
2019-11-02,0,38,47,82,31,61,66,41,72
2019-11-03,0,65,60,88,18,65,52,50,76
2019-11-04,0,96,59,83,100,94,100,66,90
2019-11-05,0,75,52,86,88,90,84,68,92
2019-11-06,0,70,63,85,84,92,87,76,93
2019-11-07,0,71,70,86,87,89,89,89,95
2019-11-08,50,61,73,86,79,95,84,75,87
2019-11-09,0,38,63,85,24,68,55,46,77
2019-11-10,0,70,70,94,20,56,63,52,82
2019-11-11,98,84,70,100,72,79,87,73,91
2019-11-12,0,89,63,86,86,81,87,78,99
2019-11-13,0,79,74,81,82,100,88,70,95
2019-11-14,0,71,79,82,82,87,82,76,92
2019-11-15,0,63,64,80,85,96,82,87,87
2019-11-16,0,40,61,77,29,65,72,59,77
2019-11-17,0,71,61,95,23,71,54,62,80
2019-11-18,49,100,93,87,94,84,82,100,92
2019-11-19,48,84,74,85,84,90,84,84,96
2019-11-20,100,74,81,83,89,89,84,84,97
2019-11-21,50,70,59,83,92,87,98,89,100
2019-11-22,51,65,59,79,73,87,72,66,94
2019-11-23,0,34,59,77,23,63,58,47,79
2019-11-24,0,66,76,90,20,55,65,52,87
2019-11-25,0,95,70,77,72,89,81,84,95
2019-11-26,0,74,59,73,80,96,75,76,92
2019-11-27,0,61,53,68,82,88,66,62,86
2019-11-28,0,31,60,72,50,65,63,55,86
2019-11-29,0,40,100,72,71,76,60,45,80
2019-11-30,0,36,62,85,21,58,62,56,76
2019-12-01,0,60,67,100,18,56,71,42,81
2019-12-02,85,87,77,89,76,98,79,61,91
2019-12-03,0,75,68,89,100,84,83,61,99
2019-12-04,0,64,60,90,84,85,95,60,100
2019-12-05,0,61,59,90,82,91,85,63,95
2019-12-06,92,62,62,92,79,87,87,53,91
2019-12-07,0,39,69,86,23,62,54,38,79
2019-12-08,0,60,77,89,22,62,58,46,79
2019-12-09,0,85,67,90,59,85,100,62,97
2019-12-10,91,71,69,89,78,78,91,52,98
2019-12-11,0,63,78,88,78,79,87,61,93
2019-12-12,0,59,54,90,88,86,83,80,91
2019-12-13,0,58,71,88,89,89,75,100,89
2019-12-14,100,33,71,87,27,62,58,48,79
2019-12-15,0,61,85,89,23,57,62,56,82
2019-12-16,0,88,64,87,85,82,88,56,91
2019-12-17,0,72,79,86,81,82,86,38,90
2019-12-18,0,64,60,83,89,78,76,38,89
2019-12-19,0,63,68,85,92,85,80,36,86
2019-12-20,0,58,57,78,81,97,75,25,81
2019-12-21,0,32,53,80,35,55,52,20,77
2019-12-22,0,65,62,83,23,69,53,18,76
2019-12-23,0,85,62,75,71,80,75,28,81
2019-12-24,0,50,69,86,72,92,65,22,78
2019-12-25,0,27,90,91,36,63,38,18,76
2019-12-26,0,53,91,83,76,97,70,19,81
2019-12-27,0,56,100,80,84,100,71,21,87
2019-12-28,0,34,96,87,38,83,67,15,86
2019-12-29,0,73,74,89,20,82,68,21,84
2019-12-30,0,100,69,81,78,86,73,27,85
2019-12-31,0,63,61,81,82,86,61,25,78
2020-01-01,0,36,12,30,35,58,45,33,5
2020-01-02,0,65,12,27,65,94,66,42,6
2020-01-03,0,62,11,100,83,85,72,49,6
2020-01-04,0,38,12,98,28,65,60,34,6
2020-01-05,0,67,12,74,19,63,67,38,6
2020-01-06,0,100,10,55,68,82,80,50,6
2020-01-07,0,78,9,48,68,75,86,46,7
2020-01-08,0,68,10,69,96,75,80,56,7
2020-01-09,0,63,9,43,64,84,69,45,7
2020-01-10,91,59,9,37,65,79,69,53,7
2020-01-11,0,33,9,33,23,62,61,29,6
2020-01-12,100,69,10,32,20,64,52,33,6
2020-01-13,0,90,9,30,67,84,73,43,7
2020-01-14,0,73,10,30,69,100,77,69,7
2020-01-15,86,66,11,30,77,81,80,100,7
2020-01-16,88,61,11,30,77,89,73,94,7
2020-01-17,0,60,9,29,75,84,73,53,7
2020-01-18,0,37,12,28,24,70,59,28,9
2020-01-19,0,66,11,29,18,56,54,37,8
2020-01-20,0,73,12,26,37,63,75,44,13
2020-01-21,88,91,23,29,70,84,81,40,27
2020-01-22,0,77,43,29,75,80,79,41,37
2020-01-23,89,69,59,28,72,88,85,50,54
2020-01-24,0,63,71,28,65,78,67,41,67
2020-01-25,0,37,85,28,20,53,47,22,83
2020-01-26,96,66,99,29,22,44,57,24,90
2020-01-27,0,86,90,29,97,68,76,48,96
2020-01-28,87,74,95,29,99,81,79,38,99
2020-01-29,0,64,81,29,86,88,100,37,85
2020-01-30,0,60,94,28,80,99,87,40,98
2020-01-31,0,56,100,27,100,99,81,39,100
2020-02-01,0,39,15,87,11,25,69,53,70
2020-02-02,0,70,21,93,7,24,63,76,59
2020-02-03,0,95,33,91,25,32,88,92,52
2020-02-04,0,81,25,94,21,47,100,92,48
2020-02-05,0,86,17,92,23,56,95,95,44
2020-02-06,0,73,15,93,22,46,90,99,45
2020-02-07,0,65,15,92,22,39,81,87,45
2020-02-08,0,39,12,86,5,25,61,61,40
2020-02-09,100,75,14,96,6,28,58,47,39
2020-02-10,0,100,12,97,23,37,89,82,41
2020-02-11,0,75,11,94,23,44,90,83,41
2020-02-12,0,70,9,95,18,42,87,95,39
2020-02-13,0,65,10,96,22,38,87,87,41
2020-02-14,0,55,8,90,21,39,74,59,34
2020-02-15,0,37,9,86,6,27,64,44,31
2020-02-16,0,74,8,95,4,26,60,72,29
2020-02-17,0,77,7,86,12,26,87,74,29
2020-02-18,0,86,8,95,23,35,82,68,28
2020-02-19,0,76,8,96,20,41,90,98,26
2020-02-20,0,64,6,97,21,38,82,75,24
2020-02-21,0,61,8,93,23,39,71,79,36
2020-02-22,0,39,16,89,10,24,57,56,46
2020-02-23,0,69,24,98,5,26,58,57,63
2020-02-24,0,92,56,100,42,43,89,88,72
2020-02-25,86,77,84,99,59,55,85,78,84
2020-02-26,0,71,100,95,56,53,88,81,99
2020-02-27,0,61,88,98,76,68,77,100,99
2020-02-28,0,57,79,98,100,100,61,58,100
2020-02-29,96,35,55,90,27,54,51,45,90
2020-03-01,97,5,8,69,13,23,73,77,29
2020-03-02,86,6,10,73,52,33,92,87,39
2020-03-03,0,5,9,71,48,27,100,100,38
2020-03-04,87,4,7,72,36,27,92,80,40
2020-03-05,0,4,7,73,41,30,97,70,41
2020-03-06,0,4,7,71,43,33,82,72,41
2020-03-07,100,2,7,63,12,20,64,47,37
2020-03-08,0,5,7,73,12,21,66,60,37
2020-03-09,0,6,10,73,86,63,92,98,45
2020-03-10,0,4,12,75,67,59,85,100,52
2020-03-11,85,4,100,72,63,48,76,79,61
2020-03-12,0,5,100,69,100,92,88,89,93
2020-03-13,0,6,56,66,86,100,65,87,95
2020-03-14,0,5,43,71,22,54,55,43,86
2020-03-15,0,9,39,76,25,52,56,77,90
2020-03-16,84,25,38,67,97,85,80,68,100
2020-03-17,0,36,38,72,74,87,65,73,95
2020-03-18,0,43,37,74,83,90,74,70,92
2020-03-19,0,45,35,75,74,89,74,71,88
2020-03-20,0,49,35,76,66,79,63,66,89
2020-03-21,0,33,36,82,20,61,54,63,87
2020-03-22,0,36,38,95,20,56,51,57,90
2020-03-23,0,64,34,81,69,67,67,79,81
2020-03-24,0,55,31,82,66,73,69,71,85
2020-03-25,0,64,28,84,64,81,59,74,75
2020-03-26,0,79,28,87,63,68,64,74,67
2020-03-27,83,75,29,96,58,61,56,100,65
2020-03-28,0,57,28,97,15,42,54,61,61
2020-03-29,0,61,28,100,15,44,49,67,56
2020-03-30,0,100,25,90,51,55,74,73,50
2020-03-31,0,96,25,86,49,53,63,86,47
2020-04-01,0,85,98,95,100,59,83,74,100
2020-04-02,0,92,96,98,96,59,75,95,96
2020-04-03,0,83,94,93,82,59,85,57,91
2020-04-04,0,53,96,96,29,46,68,66,93
2020-04-05,0,63,100,100,23,43,78,77,90
2020-04-06,0,88,89,92,86,53,74,83,82
2020-04-07,0,82,84,89,94,62,91,77,74
2020-04-08,88,76,83,89,91,59,76,82,70
2020-04-09,0,82,81,90,90,64,85,85,67
2020-04-10,94,72,78,91,41,47,72,75,63
2020-04-11,0,47,73,93,18,38,54,43,63
2020-04-12,100,60,68,100,22,38,62,82,59
2020-04-13,0,100,73,94,83,52,72,68,59
2020-04-14,87,86,71,94,80,60,79,87,54
2020-04-15,0,84,72,87,78,65,77,75,54
2020-04-16,0,77,70,93,77,63,85,81,54
2020-04-17,0,67,69,94,75,68,100,78,53
2020-04-18,0,46,65,97,24,40,55,62,49
2020-04-19,98,71,66,96,20,40,56,84,49
2020-04-20,0,89,63,93,78,100,79,92,51
2020-04-21,0,78,65,94,80,96,99,100,48
2020-04-22,0,74,68,91,67,68,90,85,44
2020-04-23,85,69,64,92,61,61,78,80,46
2020-04-24,0,62,63,96,64,59,77,96,44
2020-04-25,0,44,58,95,18,39,68,77,39
2020-04-26,0,70,59,98,16,40,71,62,39
2020-04-27,87,86,60,95,61,55,84,92,38
2020-04-28,0,75,63,99,67,56,92,80,36
2020-04-29,86,66,63,100,70,70,78,64,37
2020-04-30,81,58,59,97,67,68,89,75,35
